State_index,Jurisdiction,Time,Type,Name,Formatted_Text,Amount (million dollars),Description,Link,Source,Start
,Hawaii,Pandemic,AGENCY 1,"Department of Commerce and Consumer Affairs, Cable Television Division","Pandemic AGENCY 1: Department of Commerce and Consumer Affairs, Cable Television Division",,,http://cca.hawaii.gov/broadband,PEW_May2021,0
,Hawaii,Pandemic,AGENCY 2,"Department of Business, Economic Development & Tourism","Pandemic AGENCY 2: Department of Business, Economic Development & Tourism",,,http://broadband.hawaii.gov/about/,PEW_May2021,0
,Hawaii,Pandemic,MAP 1,"""No Internet Service"" Mapping Tool","Pandemic MAP 1: ""No Internet Service"" Mapping Tool",,,http://cca.hawaii.gov/broadband/no-internet-service-map/,PEW_May2021,0
,Hawaii,Pandemic,MAP 2,"""Fixed Wireline Broadband Speeds"" Map","Pandemic MAP 2: ""Fixed Wireline Broadband Speeds"" Map",,,http://cca.hawaii.gov/broadband/fixed-wireline-broadband-speeds-in-hawaii/,PEW_May2021,0
,Hawaii,Pandemic,PLAN 1,Hawaii Broadband Strategic Plan,Pandemic PLAN 1: Hawaii Broadband Strategic Plan,,,http://broadband.hawaii.gov/wp-content/uploads/2020/11/Hawaii-BB-Plan-2020-FINAL_10-23-20_v1.1.pdf,PEW_May2021,0
,Hawaii,Pandemic,TASK FORCE 1,Broadband Assistance Advisory Council (BAAC),Pandemic TASK FORCE 1: Broadband Assistance Advisory Council (BAAC),,,http://cca.hawaii.gov/broadband/hawaii-broadband-assistance-advisory-council/,PEW_May2021,0
,Hawaii,Pandemic,TASK FORCE 2,Strategic Telehealth Advisory Council,Pandemic TASK FORCE 2: Strategic Telehealth Advisory Council,,,https://www.capitol.hawaii.gov/session2020/bills/HB1690_.pdf,PEW_May2021,0
1,Idaho,Pre-pandemic,Agency,State Department of Education (Broadband Program),Pre-pandemic Agency: State Department of Education (Broadband Program),,,,PEW_July2019,0
2,Idaho,Pre-pandemic,Agency,Department of Commerce,Pre-pandemic Agency: Department of Commerce,,,,PEW_July2019,0
3,Idaho,Pre-pandemic,Task Force,Education Opportunity Resource Committee,Pre-pandemic Task Force: Education Opportunity Resource Committee,,,,PEW_July2019,0
4,Idaho,Pre-pandemic,Fund,Broadband Infrastructure Improvement Grant Fund,Pre-pandemic Fund: Broadband Infrastructure Improvement Grant Fund,,,,PEW_July2019,0
5,Idaho,Pandemic,Fund,CFAC Broadband Initative,Pandemic Fund: CFAC Broadband Initative,50,"broadband infrastructure to support distance education, remote work, and telehealth",https://coronavirus.idaho.gov/wp-content/uploads/2020/06/gov-approval-funding-recommendations-6.9.2020.pdf,,0
6,Idaho,Pandemic,Fund,$50 million for broadband infrastructure – directing funding to private companies to make broadband investments.,Pandemic Fund: $50 million for broadband infrastructure – directing funding to private companies to make broadband investments.,50,$50 million for broadband infrastructure – directing funding to private companies to make broadband investments.,https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Idaho,Pandemic,AGENCY 1,State Department of Education (Broadband Program),Pandemic AGENCY 1: State Department of Education (Broadband Program),,,http://www.sde.idaho.gov/tech-services/broadband/,PEW_May2021,0
,Idaho,Pandemic,AGENCY 2,Department of Commerce,Pandemic AGENCY 2: Department of Commerce,,,https://commerce.idaho.gov/broadband/,PEW_May2021,0
,Idaho,Pandemic,FUND 1,Broadband Infrastructure Improvement Grant Fund,Pandemic FUND 1: Broadband Infrastructure Improvement Grant Fund,,,http://www.sde.idaho.gov/tech-services/broadband/,PEW_May2021,0
,Idaho,Pandemic,FUND 2,State Of Idaho Broadband Grant,Pandemic FUND 2: State Of Idaho Broadband Grant,,,https://commerce.idaho.gov/incentives-and-financing/grants/,PEW_May2021,0
,Idaho,Pandemic,FUND 3,Idaho Broadband Fund ,Pandemic FUND 3: Idaho Broadband Fund ,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0127.pdf,PEW_May2021,0
,Idaho,Pandemic,GOAL 1,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/11/bbtf-final-report_11-2019.pdf,Pandemic GOAL 1: https://gov.idaho.gov/wp-content/uploads/sites/74/2019/11/bbtf-final-report_11-2019.pdf,,,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/11/bbtf-final-report_11-2019.pdf,PEW_May2021,0
,Idaho,Pandemic,MAP 1,Idaho BroadbandNow Map,Pandemic MAP 1: Idaho BroadbandNow Map,,,https://broadbandnow.com/Idaho,PEW_May2021,0
,Idaho,Pandemic,PLAN 1,Broadband Access is Imperative for Idaho,Pandemic PLAN 1: Broadband Access is Imperative for Idaho,,,https://commerce.idaho.gov/content/uploads/2019/11/Broadband-Taskforce-Final_v3.pdf,PEW_May2021,0
,Idaho,Pandemic,TASK FORCE 1,Education Opportunity Resource Committee,Pandemic TASK FORCE 1: Education Opportunity Resource Committee,,,http://www.sde.idaho.gov/tech-services/broadband/,PEW_May2021,0
,Idaho,Pandemic,TASK FORCE 2,Idaho Broadband Task Force,Pandemic TASK FORCE 2: Idaho Broadband Task Force,,,https://gov.idaho.gov/broadband-task-force/,PEW_May2021,0
,Idaho,Pandemic,TASK FORCE 3,Idaho Broadband Advisory Board ,Pandemic TASK FORCE 3: Idaho Broadband Advisory Board ,,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0127.pdf,PEW_May2021,0
1,Illinois,Pre-pandemic,Agency,Department of Commerce and Economic Opportunity,Pre-pandemic Agency: Department of Commerce and Economic Opportunity,,,,PEW_July2019,0
2,Illinois,Pre-pandemic,Agency,Department of Innovation and Technology — Illinois Century Network,Pre-pandemic Agency: Department of Innovation and Technology — Illinois Century Network,,,,PEW_July2019,0
3,Illinois,Pre-pandemic,Task Force,Broadband Advisory Council,Pre-pandemic Task Force: Broadband Advisory Council,,,,PEW_July2019,0
,Illinois,Pandemic,AGENCY 1,Department of Commerce and Economic Opportunity,Pandemic AGENCY 1: Department of Commerce and Economic Opportunity,,,https://www2.illinois.gov/dceo/connectIllinois/Pages/default.aspx,PEW_May2021,0
,Illinois,Pandemic,AGENCY 2,Department of Innovation and Technology (Illinois Century Network),Pandemic AGENCY 2: Department of Innovation and Technology (Illinois Century Network),,,https://www2.illinois.gov/icn/about/network/Pages/default.aspx,PEW_May2021,0
,Illinois,Pandemic,FUND 1,Digital Divide Elimination Infrastructure Program,Pandemic FUND 1: Digital Divide Elimination Infrastructure Program,,,https://www.icc.illinois.gov/programs/digital-divide,PEW_May2021,0
,Illinois,Pandemic,FUND 2,Connect Illinois Broadband Grant Program,Pandemic FUND 2: Connect Illinois Broadband Grant Program,,,https://www2.illinois.gov/dceo/AboutDCEO/GrantOpportunities/Pages/2366-1687.aspx,PEW_May2021,0
,Illinois,Pandemic,GOAL 1,https://www2.illinois.gov/dceo/ConnectIllinois/Documents/Broadband%20Strategic%20Plan%202.5.20.pdf,Pandemic GOAL 1: https://www2.illinois.gov/dceo/ConnectIllinois/Documents/Broadband%20Strategic%20Plan%202.5.20.pdf,,,https://www2.illinois.gov/dceo/ConnectIllinois/Documents/Broadband%20Strategic%20Plan%202.5.20.pdf,PEW_May2021,0
,Illinois,Pandemic,MAP 1,Illinois Broadband 2020,Pandemic MAP 1: Illinois Broadband 2020,,,http://illinois.maps.arcgis.com/apps/webappviewer/index.html?id=f9101de0f4564384836f4905bd0b3e2e,PEW_May2021,0
,Illinois,Pandemic,OFFICE 1,Illinois Office of Broadband ,Pandemic OFFICE 1: Illinois Office of Broadband ,,,https://www2.illinois.gov/dceo/ConnectIllinois/Pages/ILOfficeofBroadband.aspx,PEW_May2021,0
,Illinois,Pandemic,PLAN 1,Connect Illinois: Broadband Strategic Plan,Pandemic PLAN 1: Connect Illinois: Broadband Strategic Plan,,,https://www2.illinois.gov/dceo/ConnectIllinois/Documents/Broadband%20Strategic%20Plan%202.5.20.pdf,PEW_May2021,0
,Illinois,Pandemic,TASK FORCE 1,Broadband Advisory Council,Pandemic TASK FORCE 1: Broadband Advisory Council,,,https://www2.illinois.gov/sites/bac/SitePages/AppointmentsDetail.aspx?BCID=1167,PEW_May2021,0
1,Indiana,Pre-pandemic,Agency,Office of Community and Rural Affairs,Pre-pandemic Agency: Office of Community and Rural Affairs,,,,PEW_July2019,0
2,Indiana,Pre-pandemic,Agency,Indiana Economic Development Corp.,Pre-pandemic Agency: Indiana Economic Development Corp.,,,,PEW_July2019,0
3,Indiana,Pre-pandemic,Agency,Department of Transportation,Pre-pandemic Agency: Department of Transportation,,,,PEW_July2019,0
4,Indiana,Pre-pandemic,Plan,Rural broadband task force plan (2014),Pre-pandemic Plan: Rural broadband task force plan (2014),,,,PEW_July2019,0
5,Indiana,Pre-pandemic,Fund,Broadband Readiness Pilot Planning Grant,Pre-pandemic Fund: Broadband Readiness Pilot Planning Grant,,,,PEW_July2019,0
6,Indiana,Pre-pandemic,Fund,Next Level Connections,Pre-pandemic Fund: Next Level Connections,,,,PEW_July2019,0
,Indiana ,Pandemic,AGENCY 1,Office of Lieutenant Governor,Pandemic AGENCY 1: Office of Lieutenant Governor,,,https://www.in.gov/lg/,PEW_May2021,0
,Indiana ,Pandemic,AGENCY 2,Department of Transportation (Broadband Corridors Program),Pandemic AGENCY 2: Department of Transportation (Broadband Corridors Program),,,"https://www.in.gov/indot/3685.htm#:~:text=The%20broadband%20corridors%20program%20allows,no%20extra%20cost%20to%20taxpayers.",PEW_May2021,0
,Indiana ,Pandemic,AGENCY 3,Broadband Ready Communities Program ,Pandemic AGENCY 3: Broadband Ready Communities Program ,,,https://www.in.gov/indianabroadband/2632.htm ,PEW_May2021,0
,Indiana ,Pandemic,FUND 1,Next Level Connections Broadband Program,Pandemic FUND 1: Next Level Connections Broadband Program,,,https://www.in.gov/ocra/nlc.htm,PEW_May2021,0
,Indiana ,Pandemic,FUND 2,Broadband Grants for Rural Areas,Pandemic FUND 2: Broadband Grants for Rural Areas,,,https://www.in.gov/ocra/2336.htm,PEW_May2021,0
,Indiana ,Pandemic,FUND 3,Broadband Readiness Pilot Planning Grant,Pandemic FUND 3: Broadband Readiness Pilot Planning Grant,,,https://www.in.gov/ocra/2371.htm,PEW_May2021,0
,Indiana ,Pandemic,FUND 4,Indiana Broadband Connectivity Program ,Pandemic FUND 4: Indiana Broadband Connectivity Program ,,,http://184.175.130.101/legislative/2021/bills/senate/377#document-54ff8363,PEW_May2021,0
,Indiana ,Pandemic,MAP 1,Indiana Broadband Map,Pandemic MAP 1: Indiana Broadband Map,,,https://www.indianabroadbandmap.com/,PEW_May2021,0
,Indiana ,Pandemic,OFFICE 1,Indiana Broadband Office ,Pandemic OFFICE 1: Indiana Broadband Office ,,,https://www.in.gov/indianabroadband/,PEW_May2021,0
,Indiana ,Pandemic,PLAN 1,Indiana Statewide Broadband Strategic Plan,Pandemic PLAN 1: Indiana Statewide Broadband Strategic Plan,,,https://www.in.gov/indianabroadband/files/indiana-statewide-broadband-strategic-plan-3-24-2020.pdf,PEW_May2021,0
1,Iowa,Pre-pandemic,Agency,Office of the Chief Information Officer,Pre-pandemic Agency: Office of the Chief Information Officer,,,,PEW_July2019,0
2,Iowa,Pre-pandemic,Map,“Iowa Broadband Targeted Service Areas”,Pre-pandemic Map: “Iowa Broadband Targeted Service Areas”,,,,PEW_July2019,0
3,Iowa,Pre-pandemic,Fund,Broadband grants,Pre-pandemic Fund: Broadband grants,,,,PEW_July2019,0
4,Iowa,Pandemic,Fund, Empower Rural Iowa Broadband Grant Program,Pandemic Fund:  Empower Rural Iowa Broadband Grant Program,85,"$85 million for expanding telework, telehealth and remote learning through broadband expansion. Opened $50 million in CARES act funding to award grants for broadband infrastructure expansion. The program is run through the existing Empower Rural Iowa Broadband Grant Program.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Iowa,Pandemic,AGENCY 1,Office of the Chief Information Officer,Pandemic AGENCY 1: Office of the Chief Information Officer,,,https://ocio.iowa.gov/broadband ,PEW_May2021,0
,Iowa,Pandemic,FUND 1,Empower Rural Iowa Broadband Grant Program,Pandemic FUND 1: Empower Rural Iowa Broadband Grant Program,,,https://ocio.iowa.gov/broadband-grants ,PEW_May2021,0
,Iowa,Pandemic,MAP 1,Broadband Availability Map,Pandemic MAP 1: Broadband Availability Map,,,https://ocio.iowa.gov/broadband-availability-map-version-2,PEW_May2021,0
,Iowa,Pandemic,TASK FORCE 1,Empowering Rural Iowa,Pandemic TASK FORCE 1: Empowering Rural Iowa,,,https://governor.iowa.gov/goals/empowering-rural-iowa,PEW_May2021,0
1,Kansas,Pre-pandemic,Office,Office of Broadband Development,Pre-pandemic Office: Office of Broadband Development,,,,PEW_July2019,0
2,Kansas,Pre-pandemic,Agency,Department of Commerce,Pre-pandemic Agency: Department of Commerce,,,,PEW_July2019,0
3,Kansas,Pre-pandemic,Task Force,Broadband Expansion Task Force,Pre-pandemic Task Force: Broadband Expansion Task Force,,,,PEW_July2019,0
4,Kansas,Pre-pandemic,Goal,“Ensure that every Kansan will have access to a first-class telecommunications infrastructure that provides excellent services at an affordable price.”,Pre-pandemic Goal: “Ensure that every Kansan will have access to a first-class telecommunications infrastructure that provides excellent services at an affordable price.”,,,,PEW_July2019,0
5,Kansas,Pandemic,Fund,"Allocated more than $130 million toward coronavirus response. While broadband expansion is not the entirety of these relief funds, it is an eligible activity. One grant supports telework and telehealth needs, while a separate grant funds remote learning needs for low-income households.","Pandemic Fund: Allocated more than $130 million toward coronavirus response. While broadband expansion is not the entirety of these relief funds, it is an eligible activity. One grant supports telework and telehealth needs, while a separate grant funds remote learning needs for low-income households.",130,"Allocated more than $130 million toward coronavirus response. While broadband expansion is not the entirety of these relief funds, it is an eligible activity. One grant supports telework and telehealth needs, while a separate grant funds remote learning needs for low-income households.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Kansas,Pandemic,AGENCY 1,Department of Commerce,Pandemic AGENCY 1: Department of Commerce,,,http://kansascommerce.gov/,PEW_May2021,0
,Kansas,Pandemic,FUND 1,Broadband Infrastructure Construction Grant Fund  ,Pandemic FUND 1: Broadband Infrastructure Construction Grant Fund  ,,,http://www.kslegislature.org/li/b2021_22/measures/documents/hb2201_enrolled.pdf ,PEW_May2021,0
,Kansas,Pandemic,GOAL 1,https://www.ksrevisor.org/statutes/chapters/ch66/066_020_0001.html,Pandemic GOAL 1: https://www.ksrevisor.org/statutes/chapters/ch66/066_020_0001.html,,,https://www.ksrevisor.org/statutes/chapters/ch66/066_020_0001.html,PEW_May2021,0
,Kansas,Pandemic,MAP 1,The Kansas Broadband Map,Pandemic MAP 1: The Kansas Broadband Map,,,https://cngis.maps.arcgis.com/apps/webappviewer/index.html?id=72ab65f4ac2c4207abd1e575fa148cb4&extent=-11379818.9931%2C4398192.5707%2C-10557968.065%2C4910626.4083%2C102100,PEW_May2021,0
,Kansas,Pandemic,OFFICE 1,Office of Broadband Development ,Pandemic OFFICE 1: Office of Broadband Development ,,,https://www.kansascommerce.gov/community-development/infrastructure-assistance/broadband-development/,PEW_May2021,0
,Kansas,Pandemic,TASK FORCE 1,Broadband Expansion Task Force,Pandemic TASK FORCE 1: Broadband Expansion Task Force,,,http://www.kslegislature.org/li_2020/b2019_20/committees/ctte_tf_broadband_expansion_planning_task_force_1/,PEW_May2021,0
1,Kentucky,Pre-pandemic,Office,Kentucky Communications Network Authority,Pre-pandemic Office: Kentucky Communications Network Authority,,,,PEW_July2019,0
2,Kentucky,Pre-pandemic,Agency,Public Service Commission,Pre-pandemic Agency: Public Service Commission,,,,PEW_July2019,0
3,Kentucky,Pre-pandemic,Agency,Department for Local Government,Pre-pandemic Agency: Department for Local Government,,,,PEW_July2019,0
4,Kentucky,Pre-pandemic,Task Force,Kentucky Communications Network Authority Advisory Group,Pre-pandemic Task Force: Kentucky Communications Network Authority Advisory Group,,,,PEW_July2019,0
,Kentucky,Pandemic,FUND 1,Broadband Deployment Fund,Pandemic FUND 1: Broadband Deployment Fund,,,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=50280 ,PEW_May2021,0
,Kentucky,Pandemic,OFFICE 1,Kentucky Communications Network Authority,Pandemic OFFICE 1: Kentucky Communications Network Authority,,,https://kentuckywired.ky.gov/about/Pages/default.aspx,PEW_May2021,0
,Kentucky,Pandemic,TASK FORCE 1,Kentucky Communications Network Authority Advisory Group,Pandemic TASK FORCE 1: Kentucky Communications Network Authority Advisory Group,,,https://kentuckywired.ky.gov/Resinfo/Pages/KCNA-Advisory-Group.aspx,PEW_May2021,0
1,Louisiana,Pre-pandemic,,Lousiana did not have any pre-pandemic initiatives.,Pre-pandemic : Lousiana did not have any pre-pandemic initiatives.,,,,PEW_July2019,0
,Louisiana,Pandemic,AGENCY 1,Office of the Governor,Pandemic AGENCY 1: Office of the Governor,,,https://gov.louisiana.gov/page/Broadband-for-Louisiana,PEW_May2021,0
,Louisiana,Pandemic,GOAL 1,https://gov.louisiana.gov/page/Broadband-for-Louisiana,Pandemic GOAL 1: https://gov.louisiana.gov/page/Broadband-for-Louisiana,,,https://gov.louisiana.gov/page/Broadband-for-Louisiana,PEW_May2021,0
,Louisiana,Pandemic,MAP 1,https://dra.gov/about-dra/research-and-data/active-requests-for-proposals/ ,Pandemic MAP 1: https://dra.gov/about-dra/research-and-data/active-requests-for-proposals/ ,,,,PEW_May2021,0
,Louisiana,Pandemic,OFFICE 1,Office of Broadband and Connectivity ,Pandemic OFFICE 1: Office of Broadband and Connectivity ,,,http://www.legis.la.gov/legis/ViewDocument.aspx?d=1194940 ,PEW_May2021,0
,Louisiana,Pandemic,PLAN 1,Broadband for Everyone in Louisiana,Pandemic PLAN 1: Broadband for Everyone in Louisiana,,,https://gov.louisiana.gov/assets/docs/Broadband-for-Everyone-in-Louisiana-(BEL)-Plan-FINAL.pdf,PEW_May2021,0
,Louisiana,Pandemic,TASK FORCE 1,Broadband for Everyone in Louisiana (BEL) Commission,Pandemic TASK FORCE 1: Broadband for Everyone in Louisiana (BEL) Commission,,,https://gov.louisiana.gov/page/Broadband-for-Louisiana,PEW_May2021,0
,Louisiana,Pandemic,TASK FORCE 2,Task Force on Access to Broadband High-Speed Internet Service,Pandemic TASK FORCE 2: Task Force on Access to Broadband High-Speed Internet Service,,,http://www.legis.la.gov/legis/ViewDocument.aspx?d=1139917,PEW_May2021,0
2,Maine,Pre-pandemic,Office,ConnectME Broadband Authority,Pre-pandemic Office: ConnectME Broadband Authority,,,,PEW_July2019,0
3,Maine,Pre-pandemic,Agency,Department of Economic and Community Development,Pre-pandemic Agency: Department of Economic and Community Development,,,,PEW_July2019,0
4,Maine,Pre-pandemic,Task Force,ConnectME Broadband Authority,Pre-pandemic Task Force: ConnectME Broadband Authority,,,,PEW_July2019,0
5,Maine,Pre-pandemic,Plan,“State of Maine Broadband Action Plan” (2018),Pre-pandemic Plan: “State of Maine Broadband Action Plan” (2018),,,,PEW_July2019,0
6,Maine,Pre-pandemic,Goal,"“Within five years (of initial funding), 99% of all potential subscriber locations statewide have access to at least one broadband provider with sufficient capacity needed for full participation in our society, democracy and economy, to enable civic and cultural participation, employment, lifelong learning, and access to essential services. … We have defined unserved potential subscribers as those locations where the available service is less than 25Mbps/3Mbps. We will also select 100/10 as the broadband target.” ","Pre-pandemic Goal: “Within five years (of initial funding), 99% of all potential subscriber locations statewide have access to at least one broadband provider with sufficient capacity needed for full participation in our society, democracy and economy, to enable civic and cultural participation, employment, lifelong learning, and access to essential services. … We have defined unserved potential subscribers as those locations where the available service is less than 25Mbps/3Mbps. We will also select 100/10 as the broadband target.” ",,,,PEW_July2019,0
7,Maine,Pre-pandemic,Fund,ConnectME Fund,Pre-pandemic Fund: ConnectME Fund,,,,PEW_July2019,0
8,Maine,Pre-pandemic,Fund,Community Broadband Planning Grants,Pre-pandemic Fund: Community Broadband Planning Grants,,,,PEW_July2019,0
9,Maine,Pre-pandemic,Fund,Municipal Gigabit Broadband Network Access Fund,Pre-pandemic Fund: Municipal Gigabit Broadband Network Access Fund,,,,PEW_July2019,0
,Maine,Pandemic,AGENCY 1,Department of Economic and Community Development,Pandemic AGENCY 1: Department of Economic and Community Development,,,https://www.maine.gov/decd/,PEW_May2021,0
,Maine,Pandemic,FUND 1,ConnectME Fund,Pandemic FUND 1: ConnectME Fund,,,https://www.maine.gov/connectme/grants,PEW_May2021,0
,Maine,Pandemic,FUND 2,Municipal Gigabit Broadband Network Access Fund,Pandemic FUND 2: Municipal Gigabit Broadband Network Access Fund,,,https://legislature.maine.gov/statutes/35-A/title35-Asec9211-A.html,PEW_May2021,0
,Maine,Pandemic,FUND 3,Community Broadband Planning Grants,Pandemic FUND 3: Community Broadband Planning Grants,,,http://www.mainelegislature.org/legis/statutes/35-A/title35-Asec9217.html ,PEW_May2021,0
,Maine,Pandemic,GOAL 1,http://www.mainelegislature.org/legis/statutes/35-A/title35-Asec9202-A.html,Pandemic GOAL 1: http://www.mainelegislature.org/legis/statutes/35-A/title35-Asec9202-A.html,,,http://www.mainelegislature.org/legis/statutes/35-A/title35-Asec9202-A.html,PEW_May2021,0
,Maine,Pandemic,MAP 1,Broadband Mapping,Pandemic MAP 1: Broadband Mapping,,,https://www.maine.gov/connectme/communities-resources/Broadbandmapping,PEW_May2021,0
,Maine,Pandemic,OFFICE 1,ConnectME Broadband Authority,Pandemic OFFICE 1: ConnectME Broadband Authority,,,https://www.maine.gov/connectme/home,PEW_May2021,0
,Maine,Pandemic,PLAN 1,Detailed 2019-2021 Strategic Plan for Broadband Service in Maine,Pandemic PLAN 1: Detailed 2019-2021 Strategic Plan for Broadband Service in Maine,,,https://www.maine.gov/connectme/sites/maine.gov.connectme/files/inline-files/ConnectME%20Authority%20%202019-2021%20Strategic%20Plan.pdf,PEW_May2021,0
,Maine,Pandemic,TASK FORCE 1,ConnectME Broadband Authority,Pandemic TASK FORCE 1: ConnectME Broadband Authority,,,https://www.maine.gov/connectme/home,PEW_May2021,0
1,Maryland,Pre-pandemic,Office,Office of Rural Broadband,Pre-pandemic Office: Office of Rural Broadband,,,,PEW_July2019,0
2,Maryland,Pre-pandemic,Agency,Rural Maryland Council,Pre-pandemic Agency: Rural Maryland Council,,,,PEW_July2019,0
3,Maryland,Pre-pandemic,Agency,Department of Housing and Community Development,Pre-pandemic Agency: Department of Housing and Community Development,,,,PEW_July2019,0
4,Maryland,Pre-pandemic,Task Force,Taskforce for Rural Broadband,Pre-pandemic Task Force: Taskforce for Rural Broadband,,,,PEW_July2019,0
5,Maryland,Pre-pandemic,Goal,“Maryland has established a long-term vision to provide affordable high speed internet service to every Maryland home by the year 2022.” ,Pre-pandemic Goal: “Maryland has established a long-term vision to provide affordable high speed internet service to every Maryland home by the year 2022.” ,,,,PEW_July2019,0
6,Maryland,Pre-pandemic,Fund,Rural Broadband Assistance Fund,Pre-pandemic Fund: Rural Broadband Assistance Fund,,,,PEW_July2019,0
,Maryland,Pandemic,AGENCY 1,Rural Maryland Council,Pandemic AGENCY 1: Rural Maryland Council,,,https://rural.maryland.gov/ ,PEW_May2021,0
,Maryland,Pandemic,AGENCY 2,Department of Housing and Community Development,Pandemic AGENCY 2: Department of Housing and Community Development,,,https://dhcd.maryland.gov/RuralBroadband/Pages/default.aspx,PEW_May2021,0
,Maryland,Pandemic,FUND 1,Maryland Broadband Infrastructure Grant Program ,Pandemic FUND 1: Maryland Broadband Infrastructure Grant Program ,,,https://dhcd.maryland.gov/RuralBroadband/Pages/default.aspx,PEW_May2021,0
,Maryland,Pandemic,GOAL 1,https://content.govdelivery.com/attachments/MDGOV/2017/06/28/file_attachments/838894/EO%2B01.01.2014.14.pdf,Pandemic GOAL 1: https://content.govdelivery.com/attachments/MDGOV/2017/06/28/file_attachments/838894/EO%2B01.01.2014.14.pdf,,,https://content.govdelivery.com/attachments/MDGOV/2017/06/28/file_attachments/838894/EO%2B01.01.2014.14.pdf,PEW_May2021,0
,Maryland,Pandemic,MAP 1,Rural Maryland Council Statewide Broadband Assessment ,Pandemic MAP 1: Rural Maryland Council Statewide Broadband Assessment ,,,https://salisburyu.maps.arcgis.com/apps/View/index.html?appid=31dd4f45911e416f9b6920e87568880c,PEW_May2021,0
,Maryland,Pandemic,OFFICE 1,Office of Rural Broadband ,Pandemic OFFICE 1: Office of Rural Broadband ,,,https://dhcd.maryland.gov/RuralBroadband/Pages/default.aspx,PEW_May2021,0
,Maryland,Pandemic,OFFICE 2,Office of Statewide Broadband ,Pandemic OFFICE 2: Office of Statewide Broadband ,,,https://mgaleg.maryland.gov/2021RS/bills/sb/sb0066E.pdf,PEW_May2021,0
,Maryland,Pandemic,TASK FORCE 1,Taskforce for Rural Broadband,Pandemic TASK FORCE 1: Taskforce for Rural Broadband,,,https://rural.maryland.gov/projects/taskforce-for-rural-broadband/ ,PEW_May2021,0
7,Massachusetts,Pre-pandemic,Office,Massachusetts Broadband Institute,Pre-pandemic Office: Massachusetts Broadband Institute,,,,PEW_July2019,0
8,Massachusetts,Pre-pandemic,Agency,Massachusetts Technology Collaborative,Pre-pandemic Agency: Massachusetts Technology Collaborative,,,,PEW_July2019,0
9,Massachusetts,Pre-pandemic,Agency,Executive Office of Housing and Economic Development — Last Mile Infrastructure Grant Program,Pre-pandemic Agency: Executive Office of Housing and Economic Development — Last Mile Infrastructure Grant Program,,,,PEW_July2019,0
10,Massachusetts,Pre-pandemic,Agency,Department of Telecommunications and Cable,Pre-pandemic Agency: Department of Telecommunications and Cable,,,,PEW_July2019,0
11,Massachusetts,Pre-pandemic,Task Force,Massachusetts Broadband Institute Board of Directors,Pre-pandemic Task Force: Massachusetts Broadband Institute Board of Directors,,,,PEW_July2019,0
